country_name,date,parameter,product,value,unit
Chile,12/1/2023,Net Electricity Production,Natural Gas,611.3563,GWh
Chile,12/1/2023,Net Electricity Production,Combustible Renewables,386.1969,GWh
Chile,12/1/2023,Net Electricity Production,Hydro,3052.8617,GWh
Chile,12/1/2023,Net Electricity Production,Wind,878.1312,GWh
Chile,12/1/2023,Net Electricity Production,Solar,1660.4501,GWh
Chile,12/1/2023,Net Electricity Production,Geothermal,43.6779,GWh
Chile,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",6021.3179,GWh
Chile,12/1/2023,Distribution Losses,Electricity,309.4811,GWh
Chile,12/1/2023,Final Consumption (Calculated),Electricity,7425.51,GWh
Colombia,12/1/2023,Net Electricity Production,Electricity,7526.2379,GWh
Colombia,12/1/2023,Net Electricity Production,Total Combustible Fuels,3585.4448,GWh
Colombia,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",1168.0431,GWh
Colombia,12/1/2023,Net Electricity Production,Oil and Petroleum Products,340.6925,GWh
Colombia,12/1/2023,Net Electricity Production,Natural Gas,1895.2959,GWh
Colombia,12/1/2023,Net Electricity Production,Combustible Renewables,181.4133,GWh
Colombia,12/1/2023,Net Electricity Production,Hydro,3884.8369,GWh
Colombia,12/1/2023,Net Electricity Production,Solar,55.9563,GWh
Colombia,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4122.2065,GWh
Colombia,12/1/2023,Total Imports,Electricity,0.4228,GWh
Colombia,12/1/2023,Total Exports,Electricity,104.2114,GWh
Colombia,12/1/2023,Distribution Losses,Electricity,401.6865,GWh
Colombia,12/1/2023,Final Consumption (Calculated),Electricity,7020.7629,GWh
Costa Rica,12/1/2023,Remarks,Data is estimated for this month,,GWh
Costa Rica,12/1/2023,Net Electricity Production,Electricity,984.843,GWh
Costa Rica,12/1/2023,Net Electricity Production,Total Combustible Fuels,1.541,GWh
Costa Rica,12/1/2023,Net Electricity Production,Oil and Petroleum Products,1.4491,GWh
Costa Rica,12/1/2023,Net Electricity Production,Combustible Renewables,0.0919,GWh
Costa Rica,12/1/2023,Net Electricity Production,Hydro,678.4145,GWh
Costa Rica,12/1/2023,Net Electricity Production,Wind,206.2711,GWh
Costa Rica,12/1/2023,Net Electricity Production,Solar,6.6209,GWh
Costa Rica,12/1/2023,Net Electricity Production,Geothermal,91.9955,GWh
Costa Rica,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",983.3939,GWh
Costa Rica,12/1/2023,Final Consumption (Calculated),Electricity,984.843,GWh
Czech Republic,12/1/2023,Net Electricity Production,Electricity,6566.4387,GWh
Czech Republic,12/1/2023,Net Electricity Production,Nuclear,2561.522,GWh
Czech Republic,12/1/2023,Net Electricity Production,Total Combustible Fuels,3500.5481,GWh
Czech Republic,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",2743.1493,GWh
